timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T00:00:00.000Z";"2023-08-31T21:13:00.000Z";0.1547606023;0.1547606023;0.1448680483;0.1457990588;4860126.68;81666232.44;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T10:13:00.000Z";"2023-08-30T07:09:00.000Z";0.1551479791;0.1586566321;0.1531796062;0.1547718816;5675946.58;86692167.71;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T18:10:00.000Z";"2023-08-29T13:05:00.000Z";0.1518166807;0.1553929638;0.1454127548;0.155146018;6212173.97;86901732.24;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T00:21:00.000Z";"2023-08-28T10:09:00.000Z";0.1553778327;0.15541391;0.1483468141;0.1518351431;4484559.2;85047216.34;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T17:09:00.000Z";"2023-08-27T03:11:00.000Z";0.1555615148;0.1562278746;0.154491689;0.1553705428;1916622.04;87027495.03;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T05:52:00.000Z";"2023-08-26T14:45:00.000Z";0.1552329051;0.1564905244;0.1548296184;0.1555869725;2419681.92;87148723.52;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T00:49:00.000Z";"2023-08-25T04:58:00.000Z";0.1584725003;0.1595107816;0.1519452339;0.1552149917;5954212.5;86940366.42;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T00:29:00.000Z";"2023-08-24T22:18:00.000Z";0.1611901632;0.1635205105;0.1572301677;0.1585031909;5125319.11;88782181.04;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T21:40:00.000Z";"2023-08-23T13:06:00.000Z";0.1586879612;0.1615567414;0.155628585;0.1611931563;4458267.77;90288907.75;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T00:00:00.000Z";"2023-08-22T22:02:00.000Z";0.1656103741;0.1656103741;0.1549285915;0.158669063;7281210.65;88875090.75;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T00:01:00.000Z";"2023-08-21T15:32:00.000Z";0.1699935858;0.1700240543;0.1634049771;0.1656534471;6167693.13;92787244.52;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T00:10:00.000Z";"2023-08-20T07:03:00.000Z";0.1719467272;0.1720162869;0.1672888101;0.1700369109;8330090.59;95242548.27;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T23:26:00.000Z";"2023-08-19T07:28:00.000Z";0.1718469193;0.1725505914;0.1686768842;0.1719409405;8462894.01;96309049.83;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T00:16:00.000Z";"2023-08-18T04:52:00.000Z";0.1734030464;0.1778862739;0.1629349464;0.1719828888;17592404.39;96332546.27;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T06:22:00.000Z";"2023-08-17T21:55:00.000Z";0.1825778618;0.1939170718;0.164738868;0.1733081249;48865881.89;97074848.97;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T02:04:00.000Z";"2023-08-16T16:29:00.000Z";0.1805711999;0.2151779455;0.1799398322;0.1817571127;154536381.08;101807369.24;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T11:54:00.000Z";"2023-08-15T23:56:00.000Z";0.1882598375;0.1974793181;0.1805022739;0.1806327518;36720297.09;101177582.47;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T12:46:00.000Z";"2023-08-14T02:29:00.000Z";0.1803224586;0.1932793102;0.1775286768;0.1882505069;34919762.05;105444505.51;"2023-08-14T23:59:59.999Z"
"2023-08-13T00:00:00.000Z";"2023-08-13T23:59:59.999Z";"2023-08-13T00:01:00.000Z";"2023-08-13T23:46:00.000Z";0.1847897222;0.1848196859;0.1797651388;0.1803331727;5703765.85;101009779.64;"2023-08-13T23:59:59.999Z"
"2023-08-12T00:00:00.000Z";"2023-08-12T23:59:59.999Z";"2023-08-12T00:00:00.000Z";"2023-08-12T10:05:00.000Z";0.1870126647;0.1870126647;0.1830009178;0.1847703552;5483297.3;103495172.76;"2023-08-12T23:59:59.999Z"
"2023-08-11T00:00:00.000Z";"2023-08-11T23:59:59.999Z";"2023-08-11T12:31:00.000Z";"2023-08-11T00:43:00.000Z";0.1839496396;0.1941920103;0.1833606821;0.1870424586;19587530.92;104767843.03;"2023-08-11T23:59:59.999Z"
"2023-08-10T00:00:00.000Z";"2023-08-10T23:59:59.999Z";"2023-08-10T09:34:00.000Z";"2023-08-10T04:24:00.000Z";0.1792087897;0.1862746486;0.177170134;0.1839200158;16360485.78;103018873.27;"2023-08-10T23:59:59.999Z"
"2023-08-09T00:00:00.000Z";"2023-08-09T23:59:59.999Z";"2023-08-09T16:26:00.000Z";"2023-08-09T09:58:00.000Z";0.1770381184;0.1844543568;0.1734647404;0.1792730555;17868800.24;100415977.63;"2023-08-09T23:59:59.999Z"
"2023-08-08T00:00:00.000Z";"2023-08-08T23:59:59.999Z";"2023-08-08T19:10:00.000Z";"2023-08-08T04:21:00.000Z";0.1717327108;0.2087277749;0.1700980534;0.1770292999;19657940.24;99159185.79;"2023-08-08T23:59:59.999Z"
"2023-08-07T00:00:00.000Z";"2023-08-07T23:59:59.999Z";"2023-08-07T00:00:00.000Z";"2023-08-07T16:20:00.000Z";0.1743940596;0.1743940596;0.1690901573;0.1717544278;6790902.8;96204578.69;"2023-08-07T23:59:59.999Z"
"2023-08-06T00:00:00.000Z";"2023-08-06T23:59:59.999Z";"2023-08-06T00:01:00.000Z";"2023-08-06T20:55:00.000Z";0.1827175049;0.1838624802;0.174149504;0.1744840717;10642131.5;97733530.5;"2023-08-06T23:59:59.999Z"
"2023-08-05T00:00:00.000Z";"2023-08-05T23:59:59.999Z";"2023-08-05T23:55:00.000Z";"2023-08-05T00:00:00.000Z";0.1695131479;0.1821836975;0.1695131479;0.181993128;14496271.19;101939568.22;"2023-08-05T23:59:59.999Z"
"2023-08-04T00:00:00.000Z";"2023-08-04T23:59:59.999Z";"2023-08-04T00:00:00.000Z";"2023-08-04T07:07:00.000Z";0.1705584368;0.1705584368;0.1678121927;0.1693884907;3900850.42;94879349.49;"2023-08-04T23:59:59.999Z"
"2023-08-03T00:00:00.000Z";"2023-08-03T23:59:59.999Z";"2023-08-03T00:00:00.000Z";"2023-08-03T08:28:00.000Z";0.1715948341;0.1715948341;0.1687002498;0.1705667091;3462510.08;95539303.42;"2023-08-03T23:59:59.999Z"
"2023-08-02T00:00:00.000Z";"2023-08-02T23:59:59.999Z";"2023-08-02T00:42:00.000Z";"2023-08-02T16:58:00.000Z";0.1773127608;0.178189521;0.1706879002;0.1715676244;5244826.62;96099944.76;"2023-08-02T23:59:59.999Z"
"2023-08-01T00:00:00.000Z";"2023-08-01T23:59:59.999Z";"2023-08-01T01:01:00.000Z";"2023-08-01T03:46:00.000Z";0.178273067;0.18210333;0.1716760238;0.1773426358;8445436.08;99334694.17;"2023-08-01T23:59:59.999Z"
"2023-07-31T00:00:00.000Z";"2023-07-31T23:59:59.999Z";"2023-07-31T01:48:00.000Z";"2023-07-31T20:17:00.000Z";0.1782936026;0.1862484903;0.1761505637;0.1782568606;13831078.7;99846777.71;"2023-07-31T23:59:59.999Z"
"2023-07-30T00:00:00.000Z";"2023-07-30T23:59:59.999Z";"2023-07-30T07:19:00.000Z";"2023-07-30T17:10:00.000Z";0.1794648554;0.2061179351;0.1762263972;0.1782876494;55460869.04;99864023.43;"2023-07-30T23:59:59.999Z"
"2023-07-29T00:00:00.000Z";"2023-07-29T23:59:59.999Z";"2023-07-29T15:10:00.000Z";"2023-07-29T00:12:00.000Z";0.1727457948;0.1831666551;0.1722997348;0.1794255973;12748504.93;100501420.62;"2023-07-29T23:59:59.999Z"
"2023-07-28T00:00:00.000Z";"2023-07-28T23:59:59.999Z";"2023-07-28T23:17:00.000Z";"2023-07-28T06:01:00.000Z";0.1690987453;0.1729819709;0.1672722113;0.1727299564;6036628.52;96751000.22;"2023-07-28T23:59:59.999Z"
"2023-07-27T00:00:00.000Z";"2023-07-27T23:59:59.999Z";"2023-07-27T04:55:00.000Z";"2023-07-27T19:50:00.000Z";0.1729231578;0.1741491445;0.1683779738;0.1690653484;6284299.9;94698348.24;"2023-07-27T23:59:59.999Z"
